"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","覆盖日历表测试用例","1","0","刷新成功","0"
"0","","0","收货场所测试用例","1","0","修改测试数据成功","0"
"0","","0","用户与物料员测试用例","1","0","添加用户信息 不填写物料员点击确认 不允许提交","0"
"0","","0","在途库存测试用例","1","0","添加测试数据","0"
"0","","0","供应商信息测试用例","1","0","编辑全部选项成功","0"
"0","","0","制造订单表测试用例","1","0","下拉框选择成功","0"
"0","","0","采购PO答复测试用例","1","0","编辑全部选项成功","0"
"0","","0","主页设置页用例","1","0","添加模版，重复命名，点击确定，弹出提示不允许保存","0"
"0","","0","客户表测试用例","1","0","查询显示顺序<10","0"
"0","","0","方案管理表测试用例","1","0","属性设置-制造效率","0"
"0","","0","生产特征切换表测试用例","1","0","取消删除数据","0"
"0","","0","方案管理表测试用例","1","0","添加复制测试方案成功","0"
"0","","0","物料组表测试用例","1","0","数字文本框 只允许填写数字","0"
"0","","0","工序表测试用例","1","0","下拉框选择成功","0"
"0","","0","生产特征切换表测试用例","1","0","删除全部数据功","0"
"0","","0","数据库维护页用例","1","0","过滤表名成功","0"
"0","","0","系统标识设置页用例","1","0","登录页显示LOGO","0"
"0","","0","客户表测试用例","1","0","没有数据时显示正常","0"
"0","","0","客户表测试用例","1","0","修改客户名称，显示颜色，显示顺序","0"
"0","","0","工作和任务表测试用例","1","0","工作明细页面过滤条件查询，设置包含条件查询成功","0"
"0","","0","应用管理页用例","1","0","过滤条件查询，设置包含条件查询成功","0"
"0","","0","生产特征表测试用例","1","0","添加测试数据","0"
"0","","0","MRP需求计划表，MRP关联明细，请购单生成，计划单生成，请购单列表，工单列表页用例","1","0","点击导出MRP需求计划表不报错","0"
"0","","0","事务管理页用例","1","0","事务模版-切换事务类型，配置参数刷新","0"
"0","","0","物料BOM测试用例","1","0","取消删除数据","0"
"0","","0","接口执行页用例","1","0","过滤条件查询，设置包含条件查询成功","0"
"0","","0","收货日历表测试用例","1","0","重新打开浏览器，数据还存在","0"
"0","","0","事务管理页用例","1","0","事务模版-修改事务名称重复","0"
"0","","0","收货班次测试用例","1","0","编辑全部选项成功","0"
"0","","0","标准应用设置测试用例","1","0","设置表格布局-表尾内容设置为平均","0"
"0","","0","物料库存测试用例","1","0","添加测试数据","0"
