"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18890","test_item_textverify","Tests.test_items","Tue Mar 10 06:57:06 CDT 2026","passed","Tue Mar 10 06:57:25 CDT 2026","TestItemPage","test_item","",""
"","23300","test_setting_addtable2","Tests.test_items","Tue Mar 10 10:40:57 CDT 2026","passed","Tue Mar 10 10:41:20 CDT 2026","TestSettingPage","test_setting","",""
"","21231","test_setting_addsuccess1","Tests.test_items","Tue Mar 10 10:41:40 CDT 2026","passed","Tue Mar 10 10:42:01 CDT 2026","TestSettingPage","test_setting","",""
"","14178","test_materialRequirementsDefinition_selectsuccess2","Tests.test_material","Tue Mar 10 13:44:07 CDT 2026","passed","Tue Mar 10 13:44:21 CDT 2026","TestSMaterialRequirementsDefinitionPage","test_materialRequirementsDefinition","",""
"","5216","test_coverage_timesequence5","Tests.test_items","Tue Mar 10 08:20:46 CDT 2026","broken","Tue Mar 10 08:20:51 CDT 2026","TestCoveragePage","test_coverage","",""
"","6809","test_resourcechart_button1","Tests.test_items","Tue Mar 10 10:26:45 CDT 2026","passed","Tue Mar 10 10:26:51 CDT 2026","TestChartPage","test_chart","",""
"","6732","test_apps_addfail2","Tests.test_system","Tue Mar 10 16:26:46 CDT 2026","passed","Tue Mar 10 16:26:52 CDT 2026","TestSAppsPage","test_apps","",""
"","12291","test_customer_addfail","Tests.test_items","Tue Mar 10 06:47:42 CDT 2026","passed","Tue Mar 10 06:47:54 CDT 2026","TestCustomerPage","test_customer","",""
"","9593","test_role_clear","Tests.test_system","Tue Mar 10 15:00:19 CDT 2026","passed","Tue Mar 10 15:00:29 CDT 2026","TestRolePage","test_role","",""
"","27512","test_item_shiftdel","Tests.test_items","Tue Mar 10 07:06:18 CDT 2026","passed","Tue Mar 10 07:06:46 CDT 2026","TestItemPage","test_item","",""
"","13222","test_workdetails_select4","Tests.test_items","Tue Mar 10 09:56:59 CDT 2026","passed","Tue Mar 10 09:57:12 CDT 2026","TestWorkTasksPage","test_worktasks","",""
"","14010","test_environment_trademark_input2","Tests.test_system","Tue Mar 10 14:26:18 CDT 2026","passed","Tue Mar 10 14:26:32 CDT 2026","TestEnvironmentPage","test_environment","",""
"","4608","test_orderPreOccupiedMaterials_shift","Tests.test_material","Tue Mar 10 13:30:28 CDT 2026","passed","Tue Mar 10 13:30:33 CDT 2026","TestItemPage","test_orderPreOccupiedMaterials","",""
