"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10016","test_materialCalculateResume_select1","Tests.test_material","Fri Jan 23 02:45:06 CST 2026","passed","Fri Jan 23 02:45:16 CST 2026","TestSMaterialCalculateResumePage","test_materialCalculateResume","",""
"","14680","test_changeI_delete","Tests.test_items","Thu Jan 22 21:44:12 CST 2026","passed","Thu Jan 22 21:44:27 CST 2026","TestChangeIPage","test_changeI","",""
"","8844","test_systemSettings_logo3","Tests.test_system","Fri Jan 23 04:43:09 CST 2026","passed","Fri Jan 23 04:43:18 CST 2026","TestSystemSettingsPage","test_systemSettings","",""
"","14271","test_requirementdetails_select3","Tests.test_items","Thu Jan 22 23:04:15 CST 2026","passed","Thu Jan 22 23:04:29 CST 2026","TestWorkTasksPage","test_worktasks","",""
"","22601","test_process_selectnodatasuccess","Tests.test_items","Thu Jan 22 21:07:09 CST 2026","passed","Thu Jan 22 21:07:31 CST 2026","TestProcessPage","test_process","",""
"","36072","test_user_t4","Tests.test_system","Fri Jan 23 04:06:07 CST 2026","passed","Fri Jan 23 04:06:43 CST 2026","TestUserRolePage","test_userRole","",""
"","15776","test_environment_trademark_input1","Tests.test_system","Fri Jan 23 03:13:40 CST 2026","passed","Fri Jan 23 03:13:56 CST 2026","TestEnvironmentPage","test_environment","",""
"","14472","test_home_default_boot1","Tests.test_system","Fri Jan 23 03:06:07 CST 2026","broken","Fri Jan 23 03:06:22 CST 2026","TestHomePage","test_home","",""
"","27199","test_synchronize_all_materialplan1","Tests.test_system","Fri Jan 23 04:22:40 CST 2026","passed","Fri Jan 23 04:23:07 CST 2026","TestSynchronizePage","test_synchronize","",""
"","25077","test_setting_layoutlist_deletefail","Tests.test_items","Fri Jan 23 00:07:27 CST 2026","passed","Fri Jan 23 00:07:52 CST 2026","TestSettingPage","test_setting","",""
"","3757","test_item_refreshsuccess","Tests.test_items","Thu Jan 22 20:09:56 CST 2026","passed","Thu Jan 22 20:10:00 CST 2026","TestItemPage","test_item","",""
